时间戳	指导内容	存在问题
2025-10-27 00:00:00	毕业论文选题，确定毕业设计（基于YOLO 识别与 LLM 的校园违规停车报告生成系统）题目，讨论课题内容	对课题应用场景和技术边界理解还不够清晰，对目标检测、违规判定和管理系统之间的关系认识不够完整。
2025-10-28 00:00:00	毕业论文选题，确定毕业设计（基于YOLO 识别与 LLM 的校园违规停车报告生成系统）题目，讨论课题内容	对课题应用场景和技术边界理解还不够清晰，对目标检测、违规判定和管理系统之间的关系认识不够完整。
2025-11-06 00:00:00	与指导教师讨论课题研究内容和开发注意事项，查阅目标检测、智慧校园管理、违规停车识别和信息系统设计等相关资料，初步明确论文和系统开发方向。	资料收集还不够系统，对 YOLO 检测、ROI 电子围栏和后端业务管理的结合方式缺少明确规划。
2025-11-13 00:00:00	在指导教师帮助下完成文献综述、外文翻译、开题报告等材料初稿，设计系统总体架构，初步划分视觉检测模块、后端服务模块和前端管理模块。	系统模块划分还比较粗略，对各模块之间的数据传递流程说明不够充分，相关文献分析还需进一步补充。
2025-11-18 00:00:00	分析系统设计的重点和难点，完善开题报告中的功能模块部分，开展数据库需求分析，设计违规记录、摄像头设备、ROI 配置、用户和审核日志等核心数据表。	对数据库表之间的关联关系理解不够深入，部分字段设计与后续业务流程匹配度不高，E-R 图和数据表说明需要继续细化。
2025-11-23 00:00:00	对开题报告、文献综述和外文翻译进行内容讨论，重点修改系统功能流程、技术路线和论文结构，明确图像检测、人工复核、报告生成和数据看板的业务闭环。	系统流程图表达还不够准确，检测结果上报、人工复核和报告生成之间的逻辑衔接需要进一步完善，文档格式也需统一调整。
2025-12-04 00:00:00	根据开题答辩中教师提出的问题进行总结和分析，修改开题报告、文献综述及外文翻译，进一步明确校园违规停车检测系统的研究重点和实现范围。	部分功能描述与任务书要求存在偏差，视觉检测算法和管理端功能的主次关系不够突出，需要重新梳理并修正。
2025-12-11 00:00:00	根据开题报告的分析设计，指导系统框架搭建，开始进行后端、前端和视觉检测模块的基础开发。	系统初步框架已经搭建，但前后端接口、数据库连接和视觉模块推送流程还没有完全打通，具体功能实现中遇到较多问题。
2025-12-18 00:00:00	跟踪系统开发进度，指导完成核心业务接口开发，包括违规记录上传、违规复核、摄像头设备管理、ROI 配置和审核日志记录等功能。	后端接口与前端页面的数据字段存在不一致情况，部分页面展示和数据库记录不能完全对应，需要调整接口返回结构和前端请求逻辑。
2025-12-30 00:00:00	对已完成的系统功能进行检查，补充未完成的业务流程，重点完善 YOLO 检测结果上传、违规图片保存、违规记录入库和前端复核展示功能。	视觉检测模块与后端上传接口的联调不够稳定，部分测试图片的识别结果和保存路径存在异常，仍需继续调试。
2026-01-15 00:00:00	检查系统已实现功能，对存在的问题进行指导和解决，完善登录权限、数据看板、违规复核、报告展示、Word/Excel 导出等功能页面。	系统主要功能基本实现，但部分页面交互和异常提示不够完善，数据统计展示、报告导出格式和页面美观度仍有提升空间。
2026-01-22 00:00:00	总结中期检查中系统存在的不足，准备开始论文撰写，指导将系统实现过程按需求分析、总体设计、数据库设计、功能实现和测试分析进行组织。	中期检查时程序健壮性不足，部分异常处理不完善，视觉检测误判情况和人工复核机制在论文中说明不够充分。
2026-01-29 00:00:00	指导毕业论文初步编写，重点完善绪论、需求分析和系统总体设计章节，将校园违规停车管理场景与系统功能设计相对应。	论文内容还不够详细，章节层次和语言表述需要调整，对系统业务流程和技术路线的说明不够清晰。
2026-02-12 00:00:00	指导论文初稿修改，检查系统实现章节，要求结合 Spring Boot 后端、Vue 前端、MySQL 数据库和 Python YOLO 模块分别说明功能实现。	论文格式和内容仍有不足，系统实现一章的功能介绍层次不够清楚，部分代码和截图说明缺少对应关系。
2026-02-26 00:00:00	指导论文创新点部分的编写，突出 ROI 电子围栏、目标检测结果复核、违规通报自动生成和数据报表导出等系统特点。	论文创新点体现不够明显，对 YOLO 检测与业务系统结合、算法判定依据和可解释复核流程的描述还需要加强。
2026-03-12 00:00:00	再次指导论文，重点检查数据库设计部分，完善违规记录、摄像头设备、ROI 配置、系统用户和审核日志等实体关系及数据表说明。	E-R 图与三线表之间存在不一致，部分外键关系和业务字段未能准确体现，需要进一步修改数据库图表和说明文字。
2026-04-02 00:00:00	再次指导论文并准备定稿，检查摘要、目录、图表编号、参考文献引用和系统测试内容，补充关键功能运行截图和测试结果。	论文部分格式仍存在问题，个别图表编号、引用标注和参考文献格式不规范，需要按学校模板继续调整。
2026-04-16 00:00:00	根据评阅意见指导论文修订，重点完善系统测试、功能截图、答辩材料和论文中关于违规停车判定流程的表述。	开题报告等过程材料格式仍有少许问题，个别参考文献格式不正确，答辩材料中技术路线表达还需进一步精炼。
2026-05-01 00:00:00	分析毕业答辩中存在的问题，再次修改毕业论文和相关材料，完善系统演示流程，确保毕业设计和论文材料完整规范。	对答辩中专家指出的问题进行修订，进一步补充系统功能完整性、算法判定依据和实际应用价值方面的说明。
